id,text
1,"""<|id|> Sebenernya <|en|> I've been pulling <|id|> 4 hari berturut-turut begadang buat <|en|> deadline <|id|> tugas."""
2,"""<|id|> Koneksi <|en|> WiFi <|id|> di sini parah banget, nge-<|en|>reformat <|id|> aja susah."""
3,"""<|en|> The dermatologist <|id|> bilang ada tanda awal <|en|> hypertension <|id|> yang harus diperhatikan."""
4,"""<|id|> Kalau dipikir-pikir, <|en|> She's been really active in the coding community <|id|> sejak semester tiga."""
5,"""<|id|> Kalau dipikir-pikir, <|en|> The <|id|> pilpres kemarin hasilnya cukup mengejutkan banyak pihak."""
6,"""<|en|> By the way, <|id|> Aku pake <|en|> air fryer <|id|> buat bikin pasta aglio olio tadi, hasilnya lebih konsisten."""
7,"""<|id|> Kesadaran soal <|en|> climate change <|id|> harus mulai dari diri sendiri dulu."""
8,"""<|id|> Tugasnya minta bikin <|en|> case study <|id|> soal <|en|> digital literacy <|id|> minimal 1500 kata."""
9,"""<|en|> Have you tried <|id|> fitur <|en|> AI assistant <|id|> di <|en|> Canva <|id|> yang baru?"""
10,"""<|id|> Jam <|en|> peak hours <|id|> di kantor itu biasanya antara jam 09.00 sampai 15.00."""
11,"""<|id|> Sebenernya Kemarin aku beli <|en|> laptop <|id|> baru, <|en|> processor<|id|>-nya gila sih."""
12,"""<|id|> Aku lagi baca buku <|en|> Ikigai <|id|> yang isinya soal <|en|> focus."""
13,"""<|id|> Jujur aja Minggu depan aku mau <|en|> trip <|id|> ke <|en|> Lombok, <|id|> udah <|en|> booking <|id|> koper belum?"""
14,"""<|en|> The CBT <|id|> dia ngebantu banget buat <|en|> manage stress."""
15,"""<|id|> Kamu udah lihat <|en|> mega sale <|id|> di <|en|> Zalora <|id|> belum? Banyak yang murah banget."""
16,"""<|id|> Menurutku sih, Minggu depan aku mau <|en|> backpacking <|id|> ke <|en|> Singapore, <|id|> udah <|en|> booking <|id|> tiket pesawat belum?"""
17,"""<|id|> Omong-omong, Setiap pagi aku selalu <|en|> journaling <|id|> sebelum mulai kerja."""
18,"""<|id|> Sebenernya Tugasnya minta bikin <|en|> case study <|id|> soal <|en|> climate change <|id|> minimal 500 kata."""
19,"""<|en|> Honestly, <|id|> Aku pake <|en|> thermometer <|id|> masak buat bikin <|en|> avocado toast <|id|> tadi, hasilnya lebih konsisten."""
20,"""<|id|> Restoran <|en|> Korean <|id|> baru yang di Senopati itu enak banget."""
21,"""<|en|> By the way, <|id|> Dia lagi negosiasi <|en|> partnership deal <|id|> sama vendor baru dari luar negeri."""
22,"""<|id|> Folder <|en|> Documents<|id|>-nya kemana ya? Kok ga ketemu di <|en|> Trello."""
23,"""<|id|> Sebenernya monitor-ku nge-<|en|>lag <|id|> terus, kayaknya harus di-<|en|>reset <|id|> deh."""
