filename,pseudo_label
00001.wav,"Hey guys, it's me again, Leonardo Edwin. What up? Setelah kerjaan selesai, saatnya pulang lagi ke Indonesia. Beginilah yang namanya business trip. Traveling iya, tapi cuma hitungan hari, langsung balik. Walaupun penerbangannya jauh dan lama, untung banget aku dapet kelas bisnis lagi untuk rute baliknya. Dan kali ini juga naik ANA lagi, yang makanannya juara banget. Yaudah, tanpa lama-lama lagi, yuk ikut aku terbang dari San Francisco ke Jakarta via Tokyo."
00002.wav,"Selamat pagi, hari ini aku bakal ajak kalian naik pesawat pulang ke Indonesia. Penerbangan pertama kali ini kita bakal terbang ke Tokyo dulu. Baru aja nyampe di San Francisco, sama seperti 3 bulan yang lalu terakhir aku kesini, masih selalu dalam renovasi. Tapi ini lebih sejuk ya udara dibanding kemarin? Lebih sejuk ya? Iya. Karena ada aku. Kalau nggak ada aku lebih panas. Panas membara, you know? Bagus, bagus. Anyway, aku nggak sendiri. Kita lumayan rame dari tim Indonesia. Jadi kita akan pulang ke Indonesia bareng-bareng."
00004.wav,"Ada USB buat nge-charge, iPod, ini bener-bener menggambarkan sebetapa tuanya ya pesawat ini, dan ada outlet buat nge-charge listrik. Jujur, nggak terlalu convenient karena dia di sini, jadi kayak jauh gitu. Lebih enak kalau misalnya ada di sebelah meja. Kita sudah airborne, 10 jam menuju Tokyo di Jepang. Aku harus tunjukin jamnya. Nah, jadi sekarang di San Francisco ini jam 1 siang, dan di Jakarta itu jam 3 subuh."
00005.wav,"Sebentar lagi kita bakal langsung dihidangkan makanan, aku kayaknya mau langsung makan karena disini siang, jadi dari tadi pagi tuh belum makan. Jadi memang lapar, mau makan, habis itu langsung tidur. Anggapannya mungkin tidur di jam Indonesia jam 5 supaya nggak jet lag ya, anggapannya gitu. Anyway, kamar mandi seperti ini, nice touch. Ini ada sikat gigi, mouthwash, tisu muka, tisu buat lap tangan, ada cangkir, tong sampah disini, ini udah otomatis, ada sabun, ada ini buat tray."
00006.wav,"Di bawahnya langsung toilet, dan kalau mau flush, tinggal pencet aja. Di situ, dan ini adalah pesawat Jepang, guys. Jadi memang sejak dulu ya, kayaknya Jepang memang udah pionir untuk pasang bidet di pesawat. Ini ada sanitary napkins, berarti ada pembalut, ada tisu gulung, dan ada seat covers. Di sebelah sini ada cermin lagi. Cepet, aku selalu suka toilet pesawat maskapai Jepang, karena ada bidet. Kayaknya memang mereka lumayan serius ya, orang Jepang itu lumayan serius dengan bidet. Itu salah satu."
00007.wav,"Aspek yang penting. Oke, sebentar lagi kita bakal balik ke kursi dan bakal langsung dihidangkan makanan. Mari kita makan. Alright, starter udah dateng. Ini adalah, apa ya tadi? Ini duck canape. Satu lagi adalah, menunya kebanyakan guys. Aku sampai harus baca. Marinated three kinds of mushrooms, duck and cheese canape. Jamur. Jamur asinan. Jadi kayak ada asam-asamnya gitu. Aku pilih makanan Jepang lagi. Wasapku lagi."
00012.wav,"Nah, dan kita dikasih sausnya di sini, kita langsung buangnya. Sausnya, wanginya dari wangi ya? Dari wangi kayak campuran oyster sauce sama miso. Oyster itu kecap, saus kiram. Nah, kita coba guys. Ini dia, yellow tail. Lembut banget. Jatuhnya sashimi ya? Banget guys. Sabong. Jakut cai, gila-gila gak? Fresh banget. Sekalipun di udara, katanya sashimi. Jomblo juga, catering favoritku berpindah dari SQ ke ANA deh. Enak banget. Sejauh ini naik ANA, belum ketemu makanan yang..."
00013.wav,"San Francisco Airport, pagi ini lumayan sepi, internasionalnya. Kita tadi jalan dari Apple Park, kurang lebih sekitar 30 menit ke sini. Kita naik bus karena rame, ada Sofian juga. Nah, penerbanganku terakhir dari San Francisco, nggak, ke Jakarta. Jadi kali ini spesial, karena kita rame-rame dalam satu pesawat, dan kita naik business class. Terakhir aku naik United, dan itu adalah penerbangan cross-Pacific menuju ke Australia, ke Melbourne tepatnya."
00014.wav,"Mengecewakan. Memang bedanya kalau SQ, kita bisa book the cook. Jadi bisa pilihan menu yang nggak ada di flight ini pun juga bisa pilih gitu, jauh-jauh hari. Maksimal 48 jam sebelum terbang. Kalau ANA, bisanya cuma Japanese or Western. Tapi itu bisa di-book juga. Tapi kayak pilihannya nggak sebanyak SQ. Cuma dua itu, Japanese or Western. Disini bener-bener enak banget. Terus berkala, so effortless. Habis. Can't wait, habis ini kita makan nasi. Ini adalah..."
00015.wav,"Simmered mackerel and miso. Jadi kelihatan ikannya tuh dikelilingi oleh bumbu-bumbu miso. Miso paste. Mari kita coba ya. Ikan mackerel. Enak banget, sumpah. Ikannya lembut banget, guys. Dan misonya ini gurih, gurih asin gitu. Selemut apa ikannya? Di set kita ada pickle, kayaknya lobak sama, ini apa aku lupa, babu syuts ya? Babu. Komplain gue sebenarnya cuma satu, jarak dari appetizer tadi, dari zensai ke susai ke main dish itu lumayan lama. Sekitar kayak..."
